procedure_id,city,nhs_trust,avg_wait_weeks,date,source
cataract,London,Imperial College Healthcare NHS Trust,18,2025-11-05,My Planned Care
cataract,Manchester,Manchester University NHS Foundation Trust,20,2025-11-05,My Planned Care
cataract,Birmingham,University Hospitals Birmingham NHS Trust,19,2025-11-05,My Planned Care
cataract,Leeds,Leeds Teaching Hospitals NHS Trust,21,2025-11-05,My Planned Care
cataract,Bristol,University Hospitals Bristol NHS Foundation Trust,18,2025-11-05,My Planned Care
hip,London,Imperial College Healthcare NHS Trust,24,2025-11-05,My Planned Care
hip,Manchester,Manchester University NHS Foundation Trust,26,2025-11-05,My Planned Care
hip,Birmingham,University Hospitals Birmingham NHS Trust,25,2025-11-05,My Planned Care
hip,Leeds,Leeds Teaching Hospitals NHS Trust,27,2025-11-05,My Planned Care
hip,Bristol,University Hospitals Bristol NHS Foundation Trust,24,2025-11-05,My Planned Care
knee,London,Imperial College Healthcare NHS Trust,22,2025-11-05,My Planned Care
knee,Manchester,Manchester University NHS Foundation Trust,24,2025-11-05,My Planned Care
knee,Birmingham,University Hospitals Birmingham NHS Trust,23,2025-11-05,My Planned Care
knee,Leeds,Leeds Teaching Hospitals NHS Trust,25,2025-11-05,My Planned Care
knee,Bristol,University Hospitals Bristol NHS Foundation Trust,22,2025-11-05,My Planned Care

